NU_ANO_CENSO,NO_REGIAO_IES,CO_REGIAO_IES,NO_UF_IES,SG_UF_IES,CO_UF_IES,NO_MUNICIPIO_IES,CO_MUNICIPIO_IES,IN_CAPITAL_IES,NO_MESORREGIAO_IES,CO_MESORREGIAO_IES,NO_MICRORREGIAO_IES,CO_MICRORREGIAO_IES,TP_ORGANIZACAO_ACADEMICA,TP_CATEGORIA_ADMINISTRATIVA,NO_MANTENEDORA,CO_MANTENEDORA,CO_IES,NO_IES,SG_IES,DS_ENDERECO_IES,DS_NUMERO_ENDERECO_IES,DS_COMPLEMENTO_ENDERECO_IES,NO_BAIRRO_IES,NU_CEP_IES,QT_TEC_TOTAL,QT_TEC_FUNDAMENTAL_INCOMP_FEM,QT_TEC_FUNDAMENTAL_INCOMP_MASC,QT_TEC_FUNDAMENTAL_COMP_FEM,QT_TEC_FUNDAMENTAL_COMP_MASC,QT_TEC_MEDIO_FEM,QT_TEC_MEDIO_MASC,QT_TEC_SUPERIOR_FEM,QT_TEC_SUPERIOR_MASC,QT_TEC_ESPECIALIZACAO_FEM,QT_TEC_ESPECIALIZACAO_MASC,QT_TEC_MESTRADO_FEM,QT_TEC_MESTRADO_MASC,QT_TEC_DOUTORADO_FEM,QT_TEC_DOUTORADO_MASC,IN_ACESSO_PORTAL_CAPES,IN_ACESSO_OUTRAS_BASES,IN_ASSINA_OUTRA_BASE,IN_REPOSITORIO_INSTITUCIONAL,IN_BUSCA_INTEGRADA,IN_SERVICO_INTERNET,IN_PARTICIPA_REDE_SOCIAL,IN_CATALOGO_ONLINE,QT_PERIODICO_ELETRONICO,QT_LIVRO_ELETRONICO,QT_DOC_TOTAL,QT_DOC_EXE,QT_DOC_EX_FEMI,QT_DOC_EX_MASC,QT_DOC_EX_SEM_GRAD,QT_DOC_EX_GRAD,QT_DOC_EX_ESP,QT_DOC_EX_MEST,QT_DOC_EX_DOUT,QT_DOC_EX_INT,QT_DOC_EX_INT_DE,QT_DOC_EX_INT_SEM_DE,QT_DOC_EX_PARC,QT_DOC_EX_HOR,QT_DOC_EX_0_29,QT_DOC_EX_30_34,QT_DOC_EX_35_39,QT_DOC_EX_40_44,QT_DOC_EX_45_49,QT_DOC_EX_50_54,QT_DOC_EX_55_59,QT_DOC_EX_60_MAIS,QT_DOC_EX_BRANCA,QT_DOC_EX_PRETA,QT_DOC_EX_PARDA,QT_DOC_EX_AMARELA,QT_DOC_EX_INDIGENA,QT_DOC_EX_COR_ND,QT_DOC_EX_BRA,QT_DOC_EX_EST,QT_DOC_EX_COM_DEFICIENCIA
2010,Sul,4,Paraná,PR,41,Ibaiti,4109708,0,Norte Pioneiro Paranaense,4,Ibaiti,17,3,5,ASSOCIAÇÃO DE ENSINO SUPERIOR DE IBAITI,956,1449,"FACULDADE DE EDUCAÇÃO, ADMINISTRAÇÃO E TECNOLOGIA DE IBAITI",FEATI,Avenida Tertuliano de Moura Bueno,1400,Prédio,Flamenguinho,84900000,41,3,3,1,2,1,8,3,4,9,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,48,48,29,19,0,0,26,22,0,6,0,6,37,5,8,11,7,10,6,2,2,2,41,0,2,2,0,3,48,0,0
2010,Sudeste,3,São Paulo,SP,35,Bauru,3506003,0,Bauru,4,Bauru,20,1,5,INSTITUTO DAS APÓSTOLAS DO SAGRADO CORAÇÃO DE JESUS,97,137,UNIVERSIDADE DO SAGRADO CORAÇÃO,USC,Rua Irmã Arminda,out/50,,Jardim Brasil,17011160,210,5,7,8,11,58,29,39,24,17,5,4,2,1,0,1,0,0,0,0,0,0,0,0,0,257,249,153,96,0,0,35,116,98,86,0,86,31,132,21,33,37,49,44,23,14,28,219,2,1,10,0,0,248,1,0
2010,Sudeste,3,São Paulo,SP,35,São Paulo,3550308,1,Metropolitana de São Paulo,15,São Paulo,61,3,4,FACULDADE BRASÍLIA DE SÃO PAULO LTDA.,803,1181,FACULDADE BRASÍLIA DE SÃO PAULO,FABRASP,Rua Angá,395,,Vila Formosa,3360000,9,0,0,0,0,5,0,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,21,15,7,8,0,0,9,3,3,0,0,0,0,15,1,3,2,4,3,1,1,0,2,0,0,0,0,2,15,0,1
2010,Sudeste,3,Minas Gerais,MG,31,Belo Horizonte,3106200,1,Metropolitana de Belo Horizonte,7,Belo Horizonte,30,3,4,INSTITUTO NOVOS HORIZONTES DE ENSINO SUPERIOR E PESQUISA LTDA.,1092,1666,FACULDADE NOVOS HORIZONTES,NOVOS HORIZONTES,Rua Alvarenga Peixoto,1270,,Santo Agostinho,30180121,53,2,0,4,3,6,20,4,6,1,4,3,0,0,0,1,1,0,0,0,0,0,0,0,0,131,120,49,71,0,0,29,63,28,21,0,21,63,36,12,30,21,18,19,9,3,8,72,1,26,2,0,8,120,0,0
2010,Sudeste,3,São Paulo,SP,35,Barra Bonita,3505302,0,Bauru,4,Jaú,21,3,5,FUNDAÇÃO BARRA BONITA DE ENSINO,93,1622,FACULDADE DO INTERIOR PAULISTA,FIP,Avenida Pedro Ometo,3.555,,Portal da Barra,17340000,50,2,4,2,5,15,6,10,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,41,19,6,13,0,1,7,8,3,3,1,2,7,9,0,3,6,3,3,1,0,3,17,0,0,1,0,0,19,0,0
2010,Centro-Oeste,5,Goiás,GO,52,Aparecida de Goiânia,5201405,0,Centro Goiano,3,Goiânia,10,3,5,ASSOCIAÇÃO APARECIDENSE DE EDUCAÇÃO,1032,1573,FACULDADE ALFREDO NASSER,FAN,Avenida Bela Vista,26,,Jardim das Esmeralda,74905020,149,9,5,15,18,43,40,7,10,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,161,161,73,88,0,0,64,87,10,38,3,35,64,59,18,51,30,21,17,12,6,6,67,6,57,0,0,11,161,0,0
2010,Sudeste,3,São Paulo,SP,35,Mogi das Cruzes,3530607,0,Metropolitana de São Paulo,15,Mogi das Cruzes,62,1,4,SOCIEDADE EDUCACIONAL BRAZ CUBAS LTDA.,365,526,UNIVERSIDADE BRAZ CUBAS,UBC,Av. Francisco Rodrigues Filho,1233,,Mogilar,8773380,249,4,1,9,15,73,40,39,31,22,8,1,1,3,2,0,0,0,0,0,0,0,0,0,0,400,400,182,218,0,0,178,166,56,166,11,155,50,184,23,52,71,63,52,50,43,46,18,0,1,1,2,370,400,0,0
2010,Nordeste,2,Piauí,PI,22,Parnaíba,2207702,0,Norte Piauiense,1,Litoral Piauiense,2,3,4,SOCIEDADE DE ENSINO SUPERIOR PIAUIENSE LTDA.,1021,1552,FACULDADE PIAUIENSE,FAP,BR 243,"Km 7,5",,Floriópolis,64212045,52,1,1,3,13,7,7,16,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,101,51,50,4,0,96,1,0,1,0,1,100,0,18,16,24,15,13,7,5,3,0,0,0,0,0,101,101,0,0
2010,Sul,4,Rio Grande do Sul,RS,43,São Leopoldo,4318705,0,Metropolitana de Porto Alegre,5,Porto Alegre,26,3,5,"INSTITUIÇÃO SINODAL DE ASSISTÊNCIA, EDUCAÇÃO E CULTURA",915,1382,ESCOLA SUPERIOR DE TEOLOGIA,EST,Rua Amadeo Rossi,467,,Morro do Espelho,93030220,54,0,1,5,2,22,9,7,4,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,23,23,8,15,0,0,0,9,14,14,7,7,6,3,0,1,1,1,3,4,8,5,21,1,0,0,0,0,20,3,0
2010,Nordeste,2,Pernambuco,PE,26,Recife,2611606,1,Metropolitana de Recife,5,Recife,17,1,1,MINISTÉRIO DA EDUCAÇÃO,391,587,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,Rua Dom Manoel de Medeiros,s/n,,Dois Irmãos,52071030,823,8,77,14,35,89,154,72,114,116,80,21,32,4,7,1,1,0,0,0,0,0,0,0,0,1010,913,414,499,0,78,20,273,542,861,726,135,52,0,108,143,165,129,106,107,90,65,75,5,43,0,0,780,908,5,0
