MASCARA,NR_ANO,NO_DISTRITO,CODMUNIC,NO_MUNICIPIO,EH_CAPITAL,SG_UF,NO_UF,NO_REGIAO,IN_FUNCIONAMENTO,IN_DEP_ADM,IN_NATUREZA,QT_SERV_SEM_ESCOLARIDADE,QT_SERV_COM_1GRAU,QT_SERV_COM_2GRAU,QT_SERV_COM_SUPERIOR,QT_SERV_COM_ESPECIALIZACAO,QT_SERV_COM_MESTRADO,QT_SERV_COM_DOUTORADO,QT_TOTAL_SERVIDORES,QT_TOTAL_SERVIDORES_ESTAB,QT_DOCEN_FEMI_AFAST,QT_DOCEN_MASC_AFAST,QT_DOCEN_MASC_EXERC,QT_DOCEN_FEMI_EXERC,QT_DOCEN_AFAST_CURS_POS,QT_DOCEN_AFAST_OUTROS_MOT,QT_DOCEN_PARC_SEM_GRADU,QT_DOCEN_INT_SEM_GRADU,QT_DOCEN_PARC_GRADU,QT_DOCEN_INT_GRADU,QT_DOCEN_PARC_ESPEC,QT_DOCEN_INT_ESPEC,QT_DOCEN_PARC_MESTRADO,QT_DOCEN_INT_MESTRADO,QT_DOCEN_PARC_DOUTORADO,QT_DOCEN_INT_DOUTORADO
495,1995,PINDAMONHANGABA,351305038006,PINDAMONHANGABA,N,SP,Sao Paulo,SUDESTE,1,4,4,0.0,0.0,0,0,0,0,0,9,0,0,0,17,19,0,0,0,0,29,0,4,0,2,0,1,0
216,1995,CURITIBA,411003706902,CURITIBA,S,PR,Parana,SUL,1,4,4,0.0,0.0,0,0,0,0,0,14,0,0,0,42,3,0,0,0,0,2,0,39,0,4,0,0,0
310,1995,PALMARES,260401510004,PALMARES,N,PE,Pernambuco,NORDESTE,1,3,4,0.0,0.0,0,0,0,0,0,42,0,1,0,31,18,0,1,0,0,14,0,34,0,1,0,0,0
825,1995,PORTO ALEGRE,430502614902,PORTO ALEGRE,S,RS,Rio Grando do Sul,SUL,1,1,4,11.0,14.0,47,23,0,1,1,0,97,0,2,154,28,2,0,0,0,34,18,37,29,11,17,17,19
251,1995,RIO DE JANEIRO,330601804557,RIO DE JANEIRO,S,RJ,Rio de Janeiro,SUDESTE,1,4,4,0.0,0.0,0,0,0,0,0,32,0,3,4,45,23,2,5,0,0,19,0,16,0,31,0,2,0
166,1995,ARARAQUARA,350502403208,ARARAQUARA,N,SP,Sao Paulo,SUDESTE,1,4,4,0.0,0.0,0,0,0,0,0,11,0,0,3,21,2,0,3,0,0,10,0,11,1,1,0,0,0
543,1995,LINHARES,320200603205,LINHARES,N,ES,Espirito Santo,SUDESTE,1,4,4,0.0,0.0,0,0,0,0,0,26,0,0,0,21,22,0,0,0,0,12,0,27,0,4,0,0,0
612,1995,SAO JOSE DO RIO PRETO,350100449805,SAO JOSE DO RIO PRETO,N,SP,Sao Paulo,SUDESTE,1,4,4,0.0,0.0,0,0,0,0,0,15,0,1,0,34,2,0,1,0,0,10,0,14,0,12,0,0,0
389,1995,MINEIROS,520501313103,MINEIROS,N,GO,Goias,CENTRO-OESTE,1,3,3,,,0,0,0,0,0,10,0,0,0,16,5,0,0,0,0,0,1,17,0,0,3,0,0
77,1995,GOIANA,260401306200,GOIANA,N,PE,Pernambuco,NORDESTE,1,4,4,0.0,0.0,0,0,0,0,0,16,0,0,0,15,27,0,0,0,0,0,1,0,40,0,1,0,0
282,1995,CURITIBA,411003706902,CURITIBA,S,PR,Parana,SUL,1,4,4,0.0,0.0,0,0,0,0,0,6,0,0,0,15,7,0,0,0,0,15,0,7,0,0,0,0,0
621,1995,VALENCA,330501206107,VALENCA,N,RJ,Rio de Janeiro,SUDESTE,1,4,3,,,0,0,0,0,0,541,0,10,14,178,59,0,24,0,0,55,0,142,0,35,0,5,0
339,1995,BURARAMA,320401201209,CACHOEIRO DE ITAPEMIRIM,N,ES,Espirito Santo,SUDESTE,1,4,4,0.0,0.0,0,0,0,0,0,12,0,0,1,32,9,0,1,0,0,0,0,36,0,5,0,0,0
328,1995,CATANDUVA,350100511102,CATANDUVA,N,SP,Sao Paulo,SUDESTE,1,4,4,0.0,0.0,0,0,0,0,0,11,0,0,0,15,5,0,0,0,0,0,6,0,13,0,1,0,0
322,1995,LORENA,351305127207,LORENA,N,SP,Sao Paulo,SUDESTE,1,2,4,0.0,0.0,0,0,0,0,0,227,0,3,5,74,21,6,2,0,0,1,22,0,0,2,35,13,22
