NU_ANO_CENSO,NO_REGIAO_IES,CO_REGIAO_IES,NO_UF_IES,SG_UF_IES,CO_UF_IES,NO_MUNICIPIO_IES,CO_MUNICIPIO_IES,IN_CAPITAL_IES,NO_MESORREGIAO_IES,CO_MESORREGIAO_IES,NO_MICRORREGIAO_IES,CO_MICRORREGIAO_IES,TP_ORGANIZACAO_ACADEMICA,TP_REDE,TP_CATEGORIA_ADMINISTRATIVA,IN_COMUNITARIA,IN_CONFESSIONAL,NO_MANTENEDORA,CO_MANTENEDORA,CO_IES,NO_IES,SG_IES,DS_ENDERECO_IES,DS_NUMERO_ENDERECO_IES,DS_COMPLEMENTO_ENDERECO_IES,NO_BAIRRO_IES,NU_CEP_IES,QT_TEC_TOTAL,QT_TEC_FUNDAMENTAL_INCOMP_FEM,QT_TEC_FUNDAMENTAL_INCOMP_MASC,QT_TEC_FUNDAMENTAL_COMP_FEM,QT_TEC_FUNDAMENTAL_COMP_MASC,QT_TEC_MEDIO_FEM,QT_TEC_MEDIO_MASC,QT_TEC_SUPERIOR_FEM,QT_TEC_SUPERIOR_MASC,QT_TEC_ESPECIALIZACAO_FEM,QT_TEC_ESPECIALIZACAO_MASC,QT_TEC_MESTRADO_FEM,QT_TEC_MESTRADO_MASC,QT_TEC_DOUTORADO_FEM,QT_TEC_DOUTORADO_MASC,IN_ACESSO_PORTAL_CAPES,IN_ACESSO_OUTRAS_BASES,IN_ASSINA_OUTRA_BASE,IN_REPOSITORIO_INSTITUCIONAL,IN_BUSCA_INTEGRADA,IN_SERVICO_INTERNET,IN_PARTICIPA_REDE_SOCIAL,IN_CATALOGO_ONLINE,QT_PERIODICO_ELETRONICO,QT_LIVRO_ELETRONICO,QT_DOC_TOTAL,QT_DOC_EXE,QT_DOC_EX_FEMI,QT_DOC_EX_MASC,QT_DOC_EX_SEM_GRAD,QT_DOC_EX_GRAD,QT_DOC_EX_ESP,QT_DOC_EX_MEST,QT_DOC_EX_DOUT,QT_DOC_EX_INT,QT_DOC_EX_INT_DE,QT_DOC_EX_INT_SEM_DE,QT_DOC_EX_PARC,QT_DOC_EX_HOR,QT_DOC_EX_0_29,QT_DOC_EX_30_34,QT_DOC_EX_35_39,QT_DOC_EX_40_44,QT_DOC_EX_45_49,QT_DOC_EX_50_54,QT_DOC_EX_55_59,QT_DOC_EX_60_MAIS,QT_DOC_EX_BRANCA,QT_DOC_EX_PRETA,QT_DOC_EX_PARDA,QT_DOC_EX_AMARELA,QT_DOC_EX_INDIGENA,QT_DOC_EX_COR_ND,QT_DOC_EX_BRA,QT_DOC_EX_EST,QT_DOC_EX_COM_DEFICIENCIA
2023,Sudeste,3,São Paulo,SP,35,Itapetininga,3522307,0,Itapetininga,11,Itapetininga,42,3,2,4,0,0,CIESPT ENSINO SUPERIOR DE ITAPETININGA LTDA.,823,1219,INSTITUTO ITAPETININGANO DE ENSINO SUPERIOR,IIES,Rua Izolina de Morais Rosa,727,-,Vila Nastri,18206320.0,19,0,0,0,1,3,5,3,1,4,1,0,0,1,0,0,0,0,1,1,1,0,1,350,23000,49,49,27,22,0,0,26,17,6,4,0,4,45,0,0,11,11,4,9,3,7,4,38,0,2,2,0,7,49,0,0
2023,Norte,1,Pará,PA,15,Belém,1501402,1,Metropolitana de Belém,3,Belém,7,2,2,5,0,0,ASSOCIACAO CULTURAL E EDUCACIONAL DO PARA,544,792,CENTRO UNIVERSITÁRIO DO ESTADO DO PARÁ,CESUPA,Avenida Governador José Malcher,1963,Campus José Malcher,São Brás,66060232.0,339,10,2,19,4,124,79,21,48,6,17,3,6,0,0,1,0,1,1,0,1,1,1,3140,41683,355,354,209,145,0,0,25,185,144,118,0,118,220,16,6,50,55,60,65,42,39,37,152,8,181,2,1,10,353,1,1
2023,Sul,4,Rio Grande do Sul,RS,43,Canoas,4304606,0,Metropolitana de Porto Alegre,5,Porto Alegre,26,1,2,5,0,1,AELBRA EDUCACAO SUPERIOR - GRADUACAO E POS-GRADUACAO S.A. EM RECUPERACAO JUDICIAL,314,449,UNIVERSIDADE LUTERANA DO BRASIL,ULBRA,Avenida Farroupilha,8001,-,São José,92425900.0,521,0,3,4,4,182,87,98,50,54,25,6,7,0,1,1,0,1,1,1,1,0,1,8540,28710,662,619,310,309,0,0,149,292,178,203,0,203,319,97,13,49,74,90,92,88,102,111,598,5,14,1,1,0,615,4,3
2023,Sul,4,Rio Grande do Sul,RS,43,Pelotas,4314407,0,Sudeste Rio-grandense,7,Pelotas,33,4,1,1,0,0,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA SUL-RIO-GRANDENSE - RS",15520,1578,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE",IFSul,Rua Gonçalves Chaves,3218,-,Centro,96015560.0,777,0,0,2,1,20,31,54,66,175,159,139,75,35,20,1,0,0,0,1,1,1,1,15530,1734,333,331,110,221,0,2,9,137,183,330,317,13,1,0,4,16,50,79,62,57,36,27,303,3,8,0,0,17,331,0,2
2023,Nordeste,2,Bahia,BA,29,Salvador,2927408,1,Metropolitana de Salvador,5,Salvador,21,3,2,4,0,0,EMPREENDIMENTOS DE EDUCACAO CASTRO ALVES LTDA,17021,1394,FACULDADE CASTRO ALVES,FCA,R. Marechal Andréia,359,-,Pituba,,75,0,0,3,0,21,12,13,15,7,4,0,0,0,0,1,0,1,1,1,1,1,1,356,1000000,22,22,14,8,0,0,0,12,10,7,0,7,14,1,0,5,2,6,4,3,2,0,4,0,8,1,0,9,22,0,1
2023,Sul,4,Santa Catarina,SC,42,Navegantes,4211306,0,Vale do Itajaí,4,Itajaí,13,3,2,4,0,0,SINERGIA SISTEMA DE ENSINO LTDA - EPP,1298,1980,FACULDADE SINERGIA,SINERGIA,Avenida Prefeito Cirino Adolfo Cabral,199,- até 698/699,São Pedro,88370053.0,24,0,0,0,0,2,2,3,3,3,4,3,1,1,2,0,0,0,0,0,1,1,1,100,16062,45,42,17,25,0,0,9,22,11,1,0,1,10,31,0,8,5,13,5,5,2,4,38,0,4,0,0,0,42,0,0
2023,Sudeste,3,São Paulo,SP,35,Jundiaí,3525904,0,Macro Metropolitana Paulista,12,Jundiaí,47,3,1,3,0,0,MUNICIPIO DE JUNDIAI,74,93,FACULDADE DE MEDICINA DE JUNDIAÍ,FMJ,Rua Francisco Telles,250,-,VILA ARENS,13202550.0,66,0,0,0,0,23,16,14,11,2,0,0,0,0,0,1,0,1,0,1,1,1,1,23415,4233,159,157,68,89,0,0,10,48,99,1,0,1,156,0,1,7,8,31,24,23,22,41,154,0,1,2,0,0,157,0,1
2023,Sudeste,3,Rio de Janeiro,RJ,33,Rio de Janeiro,3304557,1,Metropolitana do Rio de Janeiro,6,Rio de Janeiro,18,1,1,1,0,0,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,461,693,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,UNIRIO,Avenida Pasteur,296,-,Urca,22290240.0,1357,1,9,3,16,90,87,162,76,359,196,179,91,63,25,1,0,1,1,1,1,1,1,0,13044,900,895,477,418,0,0,16,117,762,837,673,164,57,1,2,13,72,148,121,140,128,271,411,14,37,2,1,430,875,20,5
2023,Sudeste,3,Rio de Janeiro,RJ,33,Rio de Janeiro,3304557,1,Metropolitana do Rio de Janeiro,6,Rio de Janeiro,18,3,2,4,0,0,UNIESP S.A,16134,202,FACULDADE DO RIO DE JANEIRO,,Rua General Caldwell,189/197,-,Centro,20230192.0,4,0,0,0,0,1,0,0,1,0,2,0,0,0,0,1,0,1,0,1,1,1,1,22203,13336,4,4,2,2,0,0,2,1,1,1,0,1,2,1,0,0,0,1,0,0,1,2,1,1,0,0,0,2,4,0,0
2023,Sudeste,3,Espírito Santo,ES,32,Vila Velha,3205200,0,Central Espírito-santense,3,Vitória,9,1,2,4,0,0,SOCIEDADE EDUCACAO E GESTAO DE EXCELENCIA I VILA VELHA S.A,17982,664,UNIVERSIDADE VILA VELHA,UVV,Av. Comissário José Dantas de Mello,21,Unidade SEDE,Boa Vista II,29102920.0,250,0,1,2,3,46,49,60,37,27,12,10,2,1,0,1,0,1,1,1,1,0,1,100000,10000,351,350,183,167,0,0,36,171,143,122,0,122,166,62,5,30,48,67,79,47,41,33,297,3,38,6,0,6,348,2,5
