id,titulo
87412703-6a30-47a3-951f-b7f0d20cc0ee,Benefícios Concedidos - Plano de Dados Abertos 2016/2018
3a850278-9206-40c4-bcda-d606c8ad7e9e,Benefícios Emitidos - Plano de Dados Abertos 2016/2018
a02846a3-18b6-481f-a16c-988700020f36,Benefícios Indeferidos - Plano de Dados Abertos 2016/2018
d8bc25de-8c61-4fbd-a3ce-1494ce722ef7,Benefícios Indeferidos - Plano de Dados Abertos Jun/2023 a jun/2025
16dc6136-1d96-49c2-93bd-56284be181ca,Benefícios Mantidos - Plano de Dados Abertos 2016/2018
0ecd8b90-9210-4f37-be5f-c85854fed606,Benefícios ao Cidadão
3f29b7d8-0839-4e49-a4bb-1f1bcc4d814f,Benefícios concedidos - Plano de Dados Abertos Jun/2023 a jun/2025
8c017d4d-0724-4f65-bfac-882fa4276b69,Benefícios concedidos 2012 a 2018 - Plano de Dados Abertos Jun/2023 a jun/2025
1836ea98-2347-4de3-98ce-d56de6ff7abf,Benefícios em assistência estudantil
343c4f6d-ee90-43f3-8605-c4572356aba0,Benefícios emitidos - Plano de Dados Abertos Jun/2023 a jun/2025
e5eb86d5-d0e5-487b-bf7f-7db83da46d03,Benefícios indeferidos 2012 a 2018 - Plano de Dados Abertos Jun/2023 a jun/2025
daeac8b8-311f-4769-8cde-c5cbf37b35f8,Benefícios mantidos - Plano de Dados Abertos Jun/2023 a jun/2025
baff59c5-1893-428d-a3b1-f27279a33b79,Bens Imóveis
9e6e3640-b56f-492e-97be-51438b1b711a,Bens Imóveis
03d51cf4-16ec-4b8a-ad97-1111153b36b1,Bens Móveis
3f14d7d8-c08c-4a20-a304-2e7bf1803490,Bens Móveis
77e8a12e-947c-40f1-94ef-9bb4b45f4d56,Bens Móveis e Imóveis
6196f433-8850-4c91-a558-b9a0de1cb1a8,Bens móveis
72c37142-a727-4e77-bf00-8a2062968334,Biblioteca
77db2342-2729-4adf-ac74-77686028c7ce,Biblioteca Ufra - Quantidade de títulos por classificação
ae2a09db-c121-438d-a289-5bb2c94ca62d,Bibliotecas do IFSP
eab80962-6ca2-4bb9-b352-4f1f41805af6,Boletim em Alta
03344230-8523-443f-a724-fb68a53177fe,Boletim oficial
4efbbd73-f531-41a2-b4d1-547041498b4d,Bolsa Alimentação
7ed7c95a-ec15-45ed-a4cd-1c07fe70d45d,Bolsa Família
