Year,Town,Net Investment In Capital Assets,Unrestricted Net Position,Total Net Position,Change In Net Position,Nonspendable Fund Balance,Restricted Fund Balance,Committed Fund Balance,Assigned Fund Balance,Total Fund Balance,Unassigned Fund Balance,Unrestricted Fund Balance,Restatement Fund Balance Flag,Inter Gov Revenue,Tax Revenue,Total Revenue,Education,Annual Debt Service,Total Expenditures,Total Transfers In,Other Financing Sources,Total Trans To General Fund,Other Financing Uses,Operating Surplus Deficit Including Transactions,Previous Year Operating Surplus Def Including Transactions,Operating Surplus Deficit Including Sources and Uses,Special Or Extraordinary Items,Large Deficit Indicator Entprise Fund,Large Deficit Indicator Internal Service Fund,Regional School District (RSD) Debt,Town Bonded Long Term Debt,Total Bonded Long-Term Debt,Net Pension Liability,Current Year Adjusted Taxes Collectible,Current Year Taxes Collected,Property Tax Collection Rate (current Year),Total Adjusted Taxes Collectible,Total Taxes Collected,Overall Tot Tax Colleton Rate,Population,Area Limit,Net Grand List,EGL,RPA Identifier,Deficit Bonds,10-Year Scheduled Repayment Principal Amount,Total Net OPEB Liability
2019,BERLIN,98573725,17808350,117340637,11237932,0,0,46214,1634565,16630114,14949335,16630114,False,13468014,76554167,94968367,53278145,8921561,90486556,18019,18019,18019,2938926,1560904,773555,1560904,0,0,0,0,78386657,78386657,7373900,75738109,75073467,0.9912,77313417,76161899,0.9851,20436,26.32,2325084873,3322195404.0,Capitol,False,0,7711486
2019,COLCHESTER,71273605,8064477,81039901,292833,6578,0,477401,585619,8884784,7815186,8878206,False,16585701,40028244,58959293,43249066,2684056,56330458,0,0,0,2150994,477841,1234143,477841,0,0,0,0,26153847,26153847,481962,39552832,39110538,0.9888,40534502,39508991,0.9747,15809,48.98,1213163935,1818727792.0,Southeastern CT,False,0,6808744
2019,MANSFIELD,94187432,8180951,102640501,4159081,0,0,0,119494,6984450,6864956,6984450,False,20292436,33968973,55500503,35395195,291111,50132503,2550,2550,2550,4379030,991520,178178,991520,0,0,0,637022,8875000,9512022,17746025,33796917,33417627,0.9888,34406032,33749687,0.9809,25487,44.6,1104769523,1629782577.0,Capitol,False,0,2439562
2019,VOLUNTOWN,10141743,2492503,12634246,107011,0,0,0,0,1486513,1486513,1486513,False,3125085,6029662,9352799,7220813,0,8992206,0,0,0,233500,127093,-727193,127093,0,0,0,0,214324,214324,0,5985899,5828414,0.9737,6228583,5978390,0.9598,2510,38.96,205358709,337932630.6,Northeast CT,False,0,0
2019,EAST GRANBY,26104672,939508,27817748,-792495,0,0,0,739688,4436642,3696954,4436642,False,5385330,19511006,25420158,19243597,669880,24551408,0,0,0,673510,195240,237613,195240,0,0,0,0,4233037,4233037,0,19531230,19353423,0.9909,19785621,19414918,0.9813,5140,17.56,581963912,863094514.1,Capitol,False,0,1930903
2019,EAST HARTFORD,98408000,-310455000,-211902000,-13313000,1760000,0,0,703000,24410000,21947000,22650000,False,61193000,135079000,210587000,106944000,11634000,211025000,1270000,1270000,1270000,1021000,-189000,3816000,-189000,0,0,-1646000,0,62157000,62157000,221190000,133952000,131447000,0.9813,137337000,133597000,0.9728,49872,18.0,2811967294,4178783910.0,Capitol,False,0,92643000
2019,BARKHAMSTED,5485240,3219499,8704739,38467,0,0,0,374600,1760877,1386277,1760877,False,1889415,10655081,12791027,9945766,249774,12416525,0,0,0,277798,96704,82061,96704,0,0,0,287303,1975000,2262303,0,10585404,10303613,0.9734,11258006,10456582,0.9288,3606,36.25,352476360,539457408.8,Northwest Hills,False,0,0
2019,TORRINGTON,79518447,-132280980,-52757656,-780046,0,0,182398,322024,16411285,15906863,16411285,True,32445576,91925308,130986576,78323176,3181001,129579580,1200000,1200000,1200000,704462,1902534,740445,1902534,0,0,-361467,0,21908354,21908354,45017625,91925308,91925308,1.0,91925308,91925308,1.0,34044,39.75,1974043180,2834037934.0,Northwest Hills,False,0,109927982
2019,CROMWELL,95483385,11608257,107154290,3775237,0,0,879001,28683,14553116,13645432,14553116,False,7035543,43939302,53140933,31797700,3619111,50390024,601320,811313,601320,1300752,2051477,2183269,2261470,0,0,0,0,24589290,24589290,6316152,43876830,43220120,0.985,44739382,43510899,0.9725,13839,12.45,1442103576,2060363680.0,Lower CT River Valley,False,0,2686570
2019,HARWINTON,16986275,5830178,22818247,365738,0,0,0,0,2745617,2745617,2745617,False,2912964,15993798,19422318,13146345,0,18036349,25554,25554,25554,2341915,-930392,633881,-930392,0,0,0,4378268,0,4378268,422447,15918080,15854669,0.996,15989568,15922603,0.9958,5420,30.79,565071739,848020215.9,Northwest Hills,False,0,0
