Coluna,Tipo
QT_MAT_FUND_AF,Inteiro
QT_MAT_MED,Inteiro
QT_MAT_PROF,Inteiro
QT_MAT_PROF_TEC,Inteiro
QT_MAT_EJA,Inteiro
QT_MAT_EJA_FUND,Inteiro
QT_MAT_EJA_MED,Inteiro
QT_MAT_ESP,Inteiro
QT_MAT_ESP_CC,Inteiro
QT_MAT_ESP_CE,Inteiro
QT_MAT_BAS_FEM,Inteiro
QT_MAT_BAS_MASC,Inteiro
QT_MAT_BAS_ND,Inteiro
QT_MAT_BAS_BRANCA,Inteiro
QT_MAT_BAS_PRETA,Inteiro
QT_MAT_BAS_PARDA,Inteiro
QT_MAT_BAS_AMARELA,Inteiro
QT_MAT_BAS_INDIGENA,Inteiro
QT_MAT_BAS_0_3,Inteiro
QT_MAT_BAS_4_5,Inteiro
QT_MAT_BAS_6_10,Inteiro
QT_MAT_BAS_11_14,Inteiro
QT_MAT_BAS_15_17,Inteiro
QT_MAT_BAS_18_MAIS,Inteiro
QT_MAT_BAS_D,Inteiro
QT_MAT_BAS_N,Inteiro
QT_MAT_BAS_EAD,Inteiro
QT_MAT_INF_INT,Inteiro
QT_MAT_INF_CRE_INT,Inteiro
QT_MAT_INF_PRE_INT,Inteiro
QT_MAT_FUND_INT,Inteiro
QT_MAT_FUND_AI_INT,Inteiro
QT_MAT_FUND_AF_INT,Inteiro
QT_MAT_MED_INT,Inteiro
QT_DOC_BAS,Inteiro
QT_DOC_INF,Inteiro
QT_DOC_INF_CRE,Inteiro
QT_DOC_INF_PRE,Inteiro
QT_DOC_FUND,Inteiro
QT_DOC_FUND_AI,Inteiro
QT_DOC_FUND_AF,Inteiro
QT_DOC_MED,Inteiro
QT_DOC_PROF,Inteiro
QT_DOC_PROF_TEC,Inteiro
QT_DOC_EJA,Inteiro
QT_DOC_EJA_FUND,Inteiro
QT_DOC_EJA_MED,Inteiro
QT_DOC_ESP,Inteiro
QT_DOC_ESP_CC,Inteiro
QT_DOC_ESP_CE,Inteiro
QT_TUR_BAS,Inteiro
QT_TUR_INF,Inteiro
