arquivo_1,arquivo_2,coluna,comparacao,possiveis_candidatas
MICRODADOS_ENEM_1998.csv,MICRODADOS_ENEM_2023.csv,Q105,somente no arquivo_1,Q017/Q012/Q013/Q010/Q018/Q002/Q007/Q015/Q003/Q006/Q021/Q001/Q008/Q019/Q023/Q016/Q025/Q014/Q024/Q009/Q022/Q020/Q005/Q011/Q004
MICRODADOS_ENEM_1998.csv,MICRODADOS_ENEM_2023.csv,Q106,somente no arquivo_1,Q017/Q012/Q013/Q010/Q018/Q002/Q007/Q015/Q003/Q006/Q021/Q001/Q008/Q019/Q023/Q016/Q025/Q014/Q024/Q009/Q022/Q020/Q005/Q011/Q004
MICRODADOS_ENEM_1998.csv,MICRODADOS_ENEM_2023.csv,Q107,somente no arquivo_1,Q017/Q012/Q013/Q010/Q018/Q002/Q007/Q015/Q003/Q006/Q021/Q001/Q008/Q019/Q023/Q016/Q025/Q014/Q024/Q009/Q022/Q020/Q005/Q011/Q004
MICRODADOS_ENEM_1998.csv,MICRODADOS_ENEM_2023.csv,Q108,somente no arquivo_1,Q017/Q012/Q013/Q010/Q018/Q002/Q007/Q015/Q003/Q006/Q021/Q001/Q008/Q019/Q023/Q016/Q025/Q014/Q024/Q009/Q022/Q020/Q005/Q011/Q004
MICRODADOS_ENEM_1998.csv,MICRODADOS_ENEM_2023.csv,Q109,somente no arquivo_1,Q017/Q012/Q013/Q010/Q018/Q002/Q007/Q015/Q003/Q006/Q021/Q001/Q008/Q019/Q023/Q016/Q025/Q014/Q024/Q009/Q022/Q020/Q005/Q011/Q004
MICRODADOS_ENEM_1998.csv,MICRODADOS_ENEM_2023.csv,Q11,somente no arquivo_1,Q017/Q012/Q013/Q010/Q018/Q002/Q007/Q015/Q003/Q006/Q021/Q001/Q008/Q019/Q023/Q016/Q025/Q014/Q024/Q009/Q022/Q020/Q005/Q011/Q004
MICRODADOS_ENEM_1998.csv,MICRODADOS_ENEM_2023.csv,Q110,somente no arquivo_1,Q017/Q012/Q013/Q010/Q018/Q002/Q007/Q015/Q003/Q006/Q021/Q001/Q008/Q019/Q023/Q016/Q025/Q014/Q024/Q009/Q022/Q020/Q005/Q011/Q004
MICRODADOS_ENEM_1998.csv,MICRODADOS_ENEM_2023.csv,Q111,somente no arquivo_1,Q017/Q012/Q013/Q010/Q018/Q002/Q007/Q015/Q003/Q006/Q021/Q001/Q008/Q019/Q023/Q016/Q025/Q014/Q024/Q009/Q022/Q020/Q005/Q011/Q004
MICRODADOS_ENEM_1998.csv,MICRODADOS_ENEM_2023.csv,Q112,somente no arquivo_1,Q017/Q012/Q013/Q010/Q018/Q002/Q007/Q015/Q003/Q006/Q021/Q001/Q008/Q019/Q023/Q016/Q025/Q014/Q024/Q009/Q022/Q020/Q005/Q011/Q004
MICRODADOS_ENEM_1998.csv,MICRODADOS_ENEM_2023.csv,Q113,somente no arquivo_1,Q017/Q012/Q013/Q010/Q018/Q002/Q007/Q015/Q003/Q006/Q021/Q001/Q008/Q019/Q023/Q016/Q025/Q014/Q024/Q009/Q022/Q020/Q005/Q011/Q004
