Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Restatement (Y or N),Unreserved_Fund_Bal,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,Population,Moody's_Bond_Ratings,area lmt,ACGLFY,EGL,TANF Recipients,empl,ACMR,enrollmt,RPA Identifier
CROMWELL,JG,2011,33,33,M,90389434,9151471,99550923,5453013,6066793,36823715,44077961,26568344,4188778,43732539,401796,401796,947718,947718,-200500,-1040784.0,-200500,0,,31161243,31161243.0,,,4289619,Y,,N,N,36870036,36484059,0.989531417870056,37694104,36636962,0.971954712068497,14037.0,,12.39,1376551419.0,1871234450.13,49.0,0.071630074819085,26.84,2019.6,Lower CT River Valley COG
NEW FAIRFIELD,VR,2008,92,91,F,37959367,17940051,55899418,1230126,7997963,36330018,46346189,29784853,2458985,44781589,23302,23302,1187360,1187360,400542,943151.0,400542,0,,12600000,12600000.0,810158.0,0.0,7473411,N,,N,N,36304467,35993657,0.991438794570376,36566220,36156903,0.988806144031294,,,20.46,,2849406053.41,,0.043098889476467,19.96,3006.6,
NAUGATUCK,VR,2008,89,88,NH,104944090,11178920,119322988,7970728,50526650,60733633,119679465,73739126,10348435,115505108,32028,69049,4352393,4352393,-146008,1043999.0,-108987,0,,97369947,97369947.0,267636.0,950000.0,9672220,Y,,N,N,60340080,57664453,0.955657549675108,67343778,60322422,0.895738608546732,,,16.39,,3202794984.99,,0.068642291569632,41.3,5132.03,
VERNON,JG,2011,147,146,T,95834210,6733222,107476956,2079976,24575878,57387268,84618454,52089429,5738214,82667959,279614,279614,1578773,1578773,651336,521060.0,651336,0,,55325994,55325994.0,,,11078065,N,,N,Y,57184120,56484922,0.987772864214751,58398136,57028042,0.976538737469292,29139.0,Aa2,17.73,1708196907.0,2462690473.82,350.0,0.08194548493056,30.02,3768.89,Capital Region COG
EAST HADDAM,KE,2007,40,41,M,35999767,16865673,53306430,7170829,5754603,18669363,26087232,17082092,1129612,24393212,366231,366231,1121556,1121556,938695,284523.0,938695,0,,4714594,4714594.0,0.0,1142753.0,6222686,N,6222686.0,N,N,18609796,18463529,0.992140322225993,18742100,18564772,0.990538520229857,8852.0,A1,54.33,678581570.0,1387672463.28,19.0,0.036979369404438,27.23,1439.29,Midstate RPA
MANCHESTER,JG,2010,78,77,H,94969000,6886000,106018000,-285000,40373000,114544000,159424000,101255000,8941000,158275000,1513000,6621000,3546000,8547000,-884000,-2367000.0,-777000,0,,83909000,83909000.0,2451000.0,3692000.0,15500000,N,13049000.0,N,Y,123881000,121712000,0.982491261775413,127836000,123302000,0.964532682499452,58354.0,Aa1,27.25,4267835885.0,6155739358.19,806.0,0.088089622641509,30.32,7470.54,Capital Region COG
OLD SAYBROOK,VR,2008,107,106,M,64154555,7974955,74011436,1661019,6744506,30823441,39782232,24270424,3276712,38466261,21879,21879,510427,510427,827423,79454.0,827423,0,,23620000,23620000.0,0.0,0.0,1993888,Y,,N,N,30593411,30386251,0.993228607297173,31000571,30573240,0.986215382936011,,,15.04,,3486106583.04,,0.045495740438644,15.84,1626.56,
POMFRET,BP,2010,113,112,W,10086717,1495942,12004752,-198123,4381438,7177071,11769781,9835342,136971,11397839,24910,24910,701620,701620,-304768,-125648.0,-304768,0,,570702,570702.0,100000.0,283651.0,1033188,N,933188.0,N,N,7119003,7048840,0.990144265987808,7245757,7133291,0.984478364372418,4265.0,,40.29,345141425.0,517088016.19,17.0,0.090295358649789,20.59,771.55,Northeastern CT COG
HARWINTON,KE,2007,67,66,L,10587223,4503078,15090301,1127345,2632327,11674866,14846031,9731613,138750,13992422,5231,5231,221000,221000,637840,566657.0,637840,0,8012451.98,125000,8137451.98,0.0,0.0,2597787,N,2597787.0,N,N,11643562,11485049,0.986386210680202,12087497,11587943,0.958671840828585,5564.0,,30.74,466059275.0,862482397.12,6.0,0.039515615041428,24.9,950.75,Litchfield Hills Cncl of Elected Ofcls
DARIEN,VR,2008,35,35,F,84591426,32028030,116619456,39139,29590967,90532664,126548548,89629028,9980921,121408510,1668248,1843680,6442847,6442847,365439,3182132.0,540871,0,,97939665,97939665.0,177432.0,1100000.0,17587819,N,,N,N,90029920,89494121,0.994048656268938,91118320,90030820,0.988064968713207,,,12.86,,12768925522.16,,0.038419677840662,13.87,4665.16,
